,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Nanortalik,GL,2021-03-27 00:10:56,60.1432,-45.2371,7.47,69,27,25.14,scattered clouds
140,Kluczbork,PL,2021-03-27 00:10:57,50.9728,18.2182,46.99,61,40,3.0,scattered clouds
141,Harmanli,BG,2021-03-27 00:10:57,41.9333,25.9,41.0,60,74,2.44,broken clouds
142,San Rafael,AR,2021-03-27 00:09:22,-34.6177,-68.3301,58.98,41,40,5.3,scattered clouds
143,Esperance,AU,2021-03-27 00:10:58,-33.8667,121.9,57.2,88,0,12.66,clear sky
144,Tuktoyaktuk,CA,2021-03-27 00:10:58,69.4541,-133.0374,-7.6,77,40,6.91,scattered clouds
145,Spring Hill,US,2021-03-27 00:09:05,28.4769,-82.5255,80.01,65,1,5.75,clear sky
146,Fukue,JP,2021-03-27 00:10:59,32.6881,128.8419,64.4,82,75,12.66,broken clouds
147,Mozarlandia,BR,2021-03-27 00:10:59,-14.7447,-50.5706,74.84,55,95,4.07,overcast clouds
148,Tandil,AR,2021-03-27 00:06:47,-37.3217,-59.1332,62.01,93,100,4.0,light rain
149,Markova,UA,2021-03-27 00:11:00,48.6758,24.4138,32.63,86,98,4.79,overcast clouds
150,Sioux Lookout,CA,2021-03-27 00:11:00,50.1001,-91.917,37.4,52,90,8.05,overcast clouds
151,Khatanga,RU,2021-03-27 00:11:01,71.9667,102.5,-11.4,97,92,2.59,overcast clouds
152,Pevek,RU,2021-03-27 00:11:01,69.7008,170.3133,-20.0,93,82,5.1,broken clouds
153,Leshukonskoye,RU,2021-03-27 00:11:02,64.8989,45.7622,12.7,98,70,2.08,broken clouds
154,Santa Isabel,BR,2021-03-27 00:11:02,-23.3156,-46.2214,77.0,100,0,0.65,clear sky
155,Qui Nhon,VN,2021-03-27 00:08:56,13.7667,109.2333,75.99,86,87,2.28,overcast clouds
156,Torbay,CA,2021-03-27 00:11:03,47.6666,-52.7314,44.01,93,90,17.27,overcast clouds
157,Camana,PE,2021-03-27 00:11:03,-16.6228,-72.7111,70.93,79,97,5.95,overcast clouds
158,Kalmunai,LK,2021-03-27 00:09:15,7.4167,81.8167,78.21,87,98,1.07,moderate rain
159,Itoman,JP,2021-03-27 00:11:04,26.1247,127.6694,73.4,73,40,14.97,scattered clouds
160,Kutum,SD,2021-03-27 00:11:04,14.2,24.6667,65.91,19,83,13.69,broken clouds
161,Igrim,RU,2021-03-27 00:11:05,63.1906,64.4162,27.41,91,85,10.38,light snow
162,College,US,2021-03-27 00:11:05,64.8569,-147.8028,28.0,54,90,6.91,overcast clouds
163,Beaverlodge,CA,2021-03-27 00:11:06,55.2166,-119.4361,37.4,52,75,2.3,broken clouds
164,Tarauaca,BR,2021-03-27 00:11:07,-8.1614,-70.7656,74.37,97,70,2.33,broken clouds
165,La Paz,BO,2021-03-27 00:11:00,-16.5,-68.15,44.6,81,75,3.44,broken clouds
166,Anadyr,RU,2021-03-27 00:11:07,64.75,177.4833,0.0,78,0,8.95,clear sky
167,Sharqpur,PK,2021-03-27 00:11:08,31.4633,74.1,66.2,72,0,4.61,smoke
168,Puerto Escondido,MX,2021-03-27 00:11:08,15.85,-97.0667,82.4,74,40,3.44,scattered clouds
169,Guangyuan,CN,2021-03-27 00:11:09,32.442,105.823,57.0,92,100,0.76,overcast clouds
170,Inhambane,MZ,2021-03-27 00:11:09,-23.865,35.3833,74.86,86,30,9.06,light rain
171,Alice Springs,AU,2021-03-27 00:11:09,-23.7,133.8833,87.01,53,33,3.44,scattered clouds
172,Ribeira Grande,PT,2021-03-27 00:11:10,38.5167,-28.7,57.72,60,26,5.79,scattered clouds
173,Coroico,BO,2021-03-27 00:11:10,-16.1889,-67.7271,44.6,81,75,3.44,broken clouds
174,Severo-Kurilsk,RU,2021-03-27 00:11:11,50.6789,156.125,26.15,94,100,21.23,snow
175,Zelenogradsk,RU,2021-03-27 00:11:12,54.9589,20.4767,42.01,75,14,6.71,few clouds
176,Coquimbo,CL,2021-03-27 00:11:12,-29.9533,-71.3436,57.2,88,0,5.75,clear sky
177,Tuni,IN,2021-03-27 00:11:12,17.35,82.55,74.43,73,33,2.91,scattered clouds
178,Aykhal,RU,2021-03-27 00:11:13,66.0,111.5,10.81,94,100,6.89,overcast clouds
179,Port Elizabeth,ZA,2021-03-27 00:11:13,-33.918,25.5701,68.0,68,0,19.57,clear sky
180,Williams Lake,CA,2021-03-27 00:09:01,52.1415,-122.1445,46.0,75,90,3.44,overcast clouds
181,Naifaru,MV,2021-03-27 00:11:14,5.4444,73.3657,83.86,74,100,16.53,overcast clouds
182,Sabha,LY,2021-03-27 00:11:14,27.0377,14.4283,54.19,39,0,10.69,clear sky
183,Puerto Madero,MX,2021-03-27 00:11:15,14.7208,-92.4215,86.0,66,75,6.91,broken clouds
184,Necochea,AR,2021-03-27 00:11:15,-38.5473,-58.7368,62.01,86,100,7.0,overcast clouds
185,Bayanday,RU,2021-03-27 00:11:15,53.0661,105.5139,27.86,84,100,13.33,overcast clouds
186,Vila,PT,2021-03-27 00:11:16,42.0304,-8.1588,46.0,86,90,5.01,overcast clouds
187,Edd,ER,2021-03-27 00:11:16,13.9297,41.6925,81.34,43,1,7.56,clear sky
188,Ko Samui,TH,2021-03-27 00:11:17,9.5357,99.9357,82.99,75,44,10.85,scattered clouds
189,Ust-Nera,RU,2021-03-27 00:11:17,64.5667,143.2,-3.21,90,100,3.78,overcast clouds
190,Souillac,MU,2021-03-27 00:11:18,-20.5167,57.5167,75.2,88,20,6.91,few clouds
191,Kavieng,PG,2021-03-27 00:11:18,-2.5744,150.7967,83.28,73,99,10.18,light rain
192,Kununurra,AU,2021-03-27 00:11:19,-15.7667,128.7333,82.4,94,50,3.44,light rain
193,Te Anau,NZ,2021-03-27 00:11:19,-45.4167,167.7167,64.67,55,100,4.68,moderate rain
194,Ayan,RU,2021-03-27 00:11:19,56.45,138.1667,11.82,86,63,4.92,broken clouds
195,Usinsk,RU,2021-03-27 00:11:20,65.9939,57.5281,13.21,94,77,11.63,broken clouds
196,Carnarvon,AU,2021-03-27 00:11:20,-24.8667,113.6333,77.0,65,100,12.66,overcast clouds
197,Tuy Hoa,VN,2021-03-27 00:11:21,13.0833,109.3,76.37,86,88,2.3,overcast clouds
198,Sept-Iles,CA,2021-03-27 00:10:05,50.2001,-66.3821,32.0,51,100,16.11,overcast clouds
199,San Jose,US,2021-03-27 00:11:16,37.3394,-121.895,72.0,23,1,11.5,clear sky
200,Taoudenni,ML,2021-03-27 00:11:22,22.6783,-3.9836,72.39,8,4,12.5,clear sky
201,Kemijarvi,FI,2021-03-27 00:11:22,66.7131,27.4306,30.06,95,98,7.65,overcast clouds
202,Hambantota,LK,2021-03-27 00:11:23,6.1241,81.1185,78.64,84,99,10.07,light rain
203,Lewistown,US,2021-03-27 00:11:23,40.5992,-77.5714,53.6,66,1,8.05,clear sky
204,Chokurdakh,RU,2021-03-27 00:11:23,70.6333,147.9167,-16.28,96,83,5.48,broken clouds
205,Longyearbyen,SJ,2021-03-27 00:11:24,78.2186,15.6401,17.6,73,20,25.32,snow
206,Port-Gentil,GA,2021-03-27 00:11:24,-0.7193,8.7815,80.6,83,20,9.22,light rain
207,Vuktyl,RU,2021-03-27 00:11:25,63.8567,57.3094,16.59,96,95,5.48,overcast clouds
208,San Patricio,US,2021-03-27 00:11:25,28.017,-97.5169,78.8,69,40,18.41,scattered clouds
209,Mar Del Plata,AR,2021-03-27 00:09:42,-38.0023,-57.5575,64.99,88,75,27.63,mist
210,Okhotsk,RU,2021-03-27 00:11:26,59.3833,143.3,3.72,84,37,6.11,scattered clouds
211,Cabedelo,BR,2021-03-27 00:11:26,-6.9811,-34.8339,75.2,100,40,5.75,scattered clouds
212,Broome,US,2021-03-27 00:11:27,42.2506,-75.833,46.4,71,90,12.66,overcast clouds
213,Westport,US,2021-03-27 00:07:08,41.1415,-73.3579,68.0,40,1,26.46,haze
214,Novo Selo,MK,2021-03-27 00:11:28,41.4139,22.8811,36.0,82,4,3.53,clear sky
215,Betul,IN,2021-03-27 00:11:28,21.9153,77.8961,72.01,14,0,2.04,clear sky
216,Lagoa,PT,2021-03-27 00:11:28,39.05,-27.9833,56.79,61,48,7.74,scattered clouds
217,Mungwi,ZM,2021-03-27 00:11:29,-10.1732,31.3694,60.39,96,98,2.68,light rain
218,Anjiang,CN,2021-03-27 00:11:29,27.3194,110.1031,63.79,98,100,2.53,overcast clouds
219,Forbes,AU,2021-03-27 00:11:29,-33.3833,148.0167,70.0,61,22,5.01,few clouds
220,Montepuez,MZ,2021-03-27 00:11:30,-13.1256,38.9997,68.04,98,43,2.64,scattered clouds
221,Barcelona,ES,2021-03-27 00:09:14,41.3888,2.159,57.99,88,20,6.91,few clouds
222,Mizdah,LY,2021-03-27 00:09:16,31.4451,12.9801,48.76,70,0,7.23,clear sky
223,Sitka,US,2021-03-27 00:11:30,57.0531,-135.33,42.8,81,90,3.44,light rain
224,Maryville,US,2021-03-27 00:11:31,35.7565,-83.9705,69.8,35,75,5.75,broken clouds
225,Vestmanna,FO,2021-03-27 00:11:32,62.1564,-7.1664,39.2,48,40,13.8,scattered clouds
226,Amarante Do Maranhao,BR,2021-03-27 00:11:32,-5.5667,-46.7422,72.18,95,86,0.98,moderate rain
227,Orange,US,2021-03-27 00:07:39,33.7,-117.7675,63.0,55,20,8.05,few clouds
228,Novaya Mayna,RU,2021-03-27 00:11:33,54.15,49.75,30.2,80,100,6.71,overcast clouds
229,Comodoro Rivadavia,AR,2021-03-27 00:09:16,-45.8667,-67.5,57.2,88,0,4.61,clear sky
230,Dingli,MT,2021-03-27 00:11:34,35.8614,14.3822,54.0,87,0,3.44,clear sky
231,Waingapu,ID,2021-03-27 00:11:35,-9.6567,120.2641,80.71,76,100,3.58,overcast clouds
232,Valdivia,CL,2021-03-27 00:11:35,-39.8142,-73.2459,53.6,76,81,3.44,broken clouds
233,Umm Lajj,SA,2021-03-27 00:11:36,25.0213,37.2685,67.06,49,1,14.99,clear sky
234,Pangobilian,PH,2021-03-27 00:11:36,8.8011,117.8594,82.27,74,52,8.14,broken clouds
235,Houston,US,2021-03-27 00:07:17,29.7633,-95.3633,79.0,64,1,16.11,clear sky
236,Urmary,RU,2021-03-27 00:11:37,55.6789,47.944,32.0,80,0,4.47,clear sky
237,Saint-Joseph,RE,2021-03-27 00:11:37,-21.3667,55.6167,77.0,73,0,4.61,clear sky
238,Labuhan,ID,2021-03-27 00:11:38,-6.8844,112.2051,79.47,85,98,4.45,overcast clouds
239,Anuradhapura,LK,2021-03-27 00:11:38,8.3565,80.4173,75.24,94,100,4.09,overcast clouds
240,Jinchang,CN,2021-03-27 00:11:39,38.4953,102.1739,47.73,16,82,6.29,broken clouds
241,Royan,FR,2021-03-27 00:11:39,45.6285,-1.0281,50.0,93,40,4.61,scattered clouds
242,Biasca,CH,2021-03-27 00:11:40,46.3597,8.9697,55.4,67,40,1.14,scattered clouds
243,Caxias Do Sul,BR,2021-03-27 00:11:40,-29.1681,-51.1794,68.0,96,98,8.01,moderate rain
244,Ostrovnoy,RU,2021-03-27 00:11:40,68.0531,39.5131,21.25,89,38,19.04,scattered clouds
245,Bambous Virieux,MU,2021-03-27 00:11:42,-20.3428,57.7575,77.0,83,20,2.3,few clouds
246,Husavik,IS,2021-03-27 00:11:42,66.0449,-17.3389,17.6,62,90,6.91,light snow
247,Tongliao,CN,2021-03-27 00:11:43,43.6125,122.2653,49.84,74,18,9.91,few clouds
248,Russell,US,2021-03-27 00:11:43,32.3502,-85.1999,68.0,94,75,1.63,broken clouds
249,Dalby,AU,2021-03-27 00:11:43,-27.1833,151.2667,69.8,68,56,3.44,broken clouds
250,Gewane,ET,2021-03-27 00:11:44,10.1664,40.6453,72.46,48,1,4.41,clear sky
251,Cidreira,BR,2021-03-27 00:11:44,-30.1811,-50.2056,70.66,89,99,2.68,moderate rain
252,Ateptsevo,RU,2021-03-27 00:11:45,55.3236,36.75,36.0,86,75,4.47,broken clouds
