,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
553,Dunbar,US,64.4,few clouds,38.3606,-81.7374,Holiday Inn & Suites Charleston West
555,Ahuimanu,US,82.4,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
556,Malanje,AO,63.01,overcast clouds,-9.5402,16.340999999999998,Malanje Hotel
559,Finschhafen,PG,85.46,overcast clouds,-6.6024,147.8681,Cossam Guest House
560,Dedougou,BF,83.05,clear sky,12.4667,-3.4667,Hôtel Bon Séjour
561,Anderson,US,71.01,clear sky,34.5334,-82.6499,The Bleckley Inn
563,Baiao,BR,73.09,broken clouds,-2.7906,-49.6717,Hotel Eurosono
564,Laguna,US,73.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
565,Pacific Grove,US,66.0,clear sky,36.6177,-121.9166,Lovers Point Inn
567,Pocos De Caldas,BR,63.39,few clouds,-21.7878,-46.5614,Hotel Nacional Inn Poços de Caldas
572,Marsh Harbour,BS,75.92,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
573,Banda Aceh,ID,78.89,overcast clouds,5.5577,95.3222,Sulthan Hotel International
574,Sabang,ID,83.84,moderate rain,5.8933,95.3214,Hotel Citra
576,Kharar,IN,64.4,clear sky,30.7444,76.6478,OYO 19817 Hotel Sartaj
577,Kerman,IR,66.2,clear sky,30.2832,57.0788,هتل آپارتمان آسام
580,Miri,MY,77.0,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
581,Juegang,CN,64.0,overcast clouds,32.3174,121.1855,Rudong Y Hotel
584,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
586,Morondava,MG,73.81,clear sky,-20.2833,44.2833,La Case Bambou
587,Vaitape,PF,82.9,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
588,Itamaraca,BR,78.8,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
589,Sanchor,IN,73.63,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
590,Eureka,US,61.0,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
591,Tura,IN,68.56,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
